,weight,CONS_Total,vatax,table_row
8064,44.575405,1496.5875002213927,224.4881250332089,1
4313,17.630356,1790.7884618033756,268.61826927050635,1
255,54.15656,1790.7884618033759,211.05721156968357,1
4546,16.802084,1918.70192336076,287.805288504114,1
6038,179.23029,1944.2846156722367,195.7075961827975,1
325,52.282356,2148.9461541640508,283.9678846573924,1
6866,66.32387,2200.1115387870045,253.2686538836203,1
7878,21.712374,2430.355769590296,306.9923077377216,1
1680,81.66564,2481.5211542132497,333.85413466477223,1
8105,21.334108,2519.895192680465,2956.7196638989312,1
3929,87.74173,3031.5490389100005,454.73235583650006,1
3578,94.13754,3197.8365389346,637.0090385557722,1
2553,26.763088,3325.750000491985,498.86250007379766,1
7842,36.54446,3530.411538983799,337.6915385114937,1
8097,42.030693,3581.5769236067513,537.2365385410127,1
699,133.4445,3632.7423082297064,391.4151923655951,1
983,119.42878,3965.317308278903,1147.3837501697344,1
8182,12.541931,4553.71923144287,376.0655769787088,1
1177,78.390396,4950.250962270761,3311.679519720672,1
1117,84.210594,5333.991346942913,800.0987020414369,1
3923,87.74173,5487.487500811773,823.123125121766,1
786,147.25504,5602.60961621342,184.19538464263292,1
3776,100.74752,5653.775000836373,0.0,1
4424,45.313828,5679.357693147849,516.1308173840445,1
6527,46.38562,5832.85384701671,422.1144231393672,1
646,187.26065,6011.932693197047,3480.525288976419,1
7261,55.145836,6152.637500910169,6410.3831259483,1
3605,53.27932,6254.968270156079,938.2452405234117,1
8180,12.541931,6459.629808647892,3518.8993274436343,1
1197,146.16542,6574.751924049538,986.2127886074306,1
7783,15.624219,7214.319231836457,1082.1478847754686,1
1763,51.161144,7316.650001082366,913.3021155197218,1
2153,28.826862,7367.8153857053185,1013.0746155344813,1
1114,84.210594,7572.4769241971335,445.13884621969623,1
143,69.68797,8212.044231984051,878.7654808992279,1
7963,20.657774,8263.209616607008,2064.5232695361783,1
521,196.74655,8698.115385902112,103.60990386148104,1
6891,105.4164,8698.115385902112,4950.25096227076,1
6330,70.28125,8902.776924393926,1059.1234616951392,1
7977,21.691416,8902.776924393926,890.2776924393926,1
5800,367.36108,8928.359616705404,1339.2539425058103,1
4137,20.287352,9081.855770574264,4585.697596832214,1
269,33.126137,9337.682693689032,2313.954519573076,1
167,43.80128,9465.596155246416,1419.8394232869625,1
8145,25.81471,9567.926924492323,1788.2301925722281,1
867,136.58437,9606.300962959538,1199.188702100475,1
930,133.54916,9619.092309115278,1442.8638463672914,1
1970,58.437584,9810.962501451353,3071.841779300577,1
8184,12.541931,9836.545193762828,1417.9207213636014,1
1074,95.788826,10079.58077072186,1416.002019440241,1
3637,152.33253,10130.746155344814,1327.741730965646,1
7888,14.864314,10284.242309213674,1062.960865541861,1
7896,13.027424,10476.11250154975,2066.4419714595383,1
912,295.2125,10770.313463131735,391.41519236559503,1
622,326.54654,10872.64423237764,1295.123798268513,1
8283,31.064322,10949.392309312072,1550.3111540754944,1
2899,25.940062,11141.262501648147,3474.769183206336,1
7058,4.1379266,11691.290386344897,95.93509616803802,1
8219,9.144867,11716.873078656372,4547.323558364999,1
5899,242.88655,11998.28269408262,834.6353366619306,1
1818,74.1719,12330.857694131817,1020.749423227924,1
6331,70.28125,12535.519232623632,1178.0829809435065,1
8285,31.064322,12676.224040336756,1872.653077200102,1
2048,43.588688,12727.389424959707,1323.9043271189244,1
1092,84.79122,12944.84230960726,283.96788465739246,1
8312,51.17917,12944.842309607262,23.024423080329115,1
1773,42.733105,12961.343146148163,2849.8287797485027,1
191,49.59935,12983.216348074478,1579.0916829259056,1
8155,30.370056,13085.547117320384,1381.4653848197472,1
7444,17.783812,13533.244232771227,556.4235577746205,1
1171,78.390396,13597.200963549916,5.756105770082279,1
7887,14.864314,13891.4019251319,1838.1164425796078,1
1877,59.000076,14172.811540558148,310.82971158444315,1
7873,21.712374,14646.091348320468,2100.978606080032,1
7823,21.951656,14965.875002213927,2206.5072118648736,1
7187,8.564315,14991.457694525401,1377.6279809730254,1
7981,60.104656,15208.910579172956,1836.197740656247,1
2180,19.719496,15272.867309951649,2290.930096492748,1
4490,28.20857,15554.276925377892,1496.5875002213925,1
7139,20.65163,15605.442310000848,2168.1331733976585,1
1348,114.87667,16411.297117812366,2254.474759948893,1
6356,7.7411227,16577.58461783697,2467.4506734419374,1
8284,31.064322,16590.37596399271,3269.468077406735,1
540,288.44913,16705.498079394347,2029.9866349156837,1
2729,13.560897,17242.734617935363,1285.5302886517093,1
502,55.937046,17268.317310246843,1208.7822117172786,1
7905,12.384259,17639.266348763256,2856.9471638841715,1
7990,35.037315,17761.80744493523,2994.2878475583357,1
7667,7.609907,18061.380771902623,1304.7173078853168,1
289,55.652454,18138.12884883705,1496.5875002213925,1
1894,61.072063,18368.37307964034,2160.458365704216,1
2948,15.618823,18534.66057966494,2005.0435099119943,1
1070,95.788826,18649.782695066584,1780.5553848787852,1
740,150.4157,18649.78269506659,395.25259621231646,1
2114,64.70061,18662.574041222328,1425.5955290570448,1
6290,20.221272,18675.365387378064,2064.523269536178,1
3794,101.49925,18752.113464312493,598.635000088557,1
7939,19.531248,18854.444233558403,1960.9133656746967,1
2086,42.270435,19084.688464361694,2168.1331733976585,1
7564,6.4490743,19351.515945170402,2902.7273917755597,1
1174,78.390396,19570.75961827975,2072.1980772296206,1
7672,4.2993827,19583.550964435486,2745.662452329247,1
7902,12.384259,19877.75192601747,2793.6300004132663,1
6552,9.132086,20120.787502976502,2369.596875350538,1
7964,20.657774,20734.772118451947,2281.336586875944,1
7998,35.037315,20913.850964632282,3098.703606227627,1
3805,29.326443,20965.01634925524,2803.2235100300704,1
182,44.88992,21156.886541591317,2218.0194234050387,1
6968,23.527565,21290.300281995664,2964.3944715923744,1
7937,19.531248,21310.382695460175,1999.287404141912,1
2167,16.414694,21476.67019548477,1832.3603368095255,1
2558,26.763088,21562.628041651333,1815.0920194992786,1
2982,17.629166,21898.784618624144,2141.271346470609,1
708,212.86377,22001.11538787005,1734.506538718127,1
3025,21.873226,22103.446157115955,0.0,1
218,59.118416,22129.02884942743,3261.793269713292,1
3983,116.91588,22136.57574365932,3301.2993423152902,1
2494,43.399883,22141.820195583172,3302.0860101038684,1
6533,20.445454,22231.35961867334,3000.8498081362286,1
2986,17.629166,22256.942310984818,2601.759808077191,1
1233,80.85772,22626.228474500986,4671.789752133414,1
7651,19.742064,22691.84808027992,1561.8233656156588,1
3297,135.67116,22691.84808027992,1193.4325963303927,1
2890,25.940062,22743.013464902877,3043.0612504501655,1
3238,79.86316,23177.91923419798,2317.7919234197984,1
69,54.249287,23203.50192650946,3112.1345196911525,1
1468,126.47286,23293.041349599633,2665.076971548096,1
1519,114.54365,23305.832695755365,1450.5386540607346,1
2896,25.940062,23536.076926558657,1999.287404141912,1
2152,28.826862,23638.40769580457,2697.6949042452293,1
8299,38.516888,23727.947118894735,3104.4597119977107,1
4050,46.174484,23919.81731123081,2858.865865807532,1
7825,21.951656,24137.270195878365,1678.8641829406654,1
829,87.6315,24210.43669588919,1632.8153367800069,1
1469,126.47286,24252.392311280004,2881.890288887861,1
2617,99.4285,24354.723080525913,2225.694231098482,1
6486,15.979737,24354.723080525917,2104.8160099267543,1
2957,24.99478,24535.720628629617,3219.86963268786,1
1467,126.47286,24636.13269595216,1502.3436059914754,1
6006,73.425,24943.12500368989,1241.400144414412,2
4284,48.66972,24994.290388312835,2697.694904245229,2
7535,17.07108,25019.87308062431,3522.7367312903552,2
3248,49.920124,25339.65673451777,922.8956251365257,2
4224,7.3314357,25505.944234542374,5310.966923862584,2
7877,21.712374,25672.231734566965,6705.8632221458565,2
7851,7.851349,25685.023080722713,1642.4088463968103,2
8170,46.722412,25864.101926903044,2858.8658658075324,2
8322,30.134392,25915.267311525997,3887.2900967288992,2
4259,31.134459,25966.432696148957,1316.2295194254816,2
4229,7.3314357,26017.598080771902,2582.5727888435827,2
7097,25.168598,26401.33846544406,3388.427596655102,2
3269,91.7781,26606.000003935875,7268.04288569056,2
47,98.33422,26631.582696247344,1749.856154105013,2
6483,15.979737,26938.57500398507,4430.282741039995,2
62,54.249287,27015.3230809195,1105.172307855798,2
8063,44.575405,27117.653850165407,3875.7778851887347,2
141,69.68797,27130.445196321147,2398.37740420095,2
837,171.42734,27296.732696345738,4094.509904451861,2
4185,25.30302,27360.689427124446,1744.1000483349312,2
1487,70.21323,27514.185580993297,1721.0756252546016,2
1322,126.87445,27923.50865797693,1590.60389446607,2
7705,5.4345107,28025.83942722284,6855.521972167995,2
121,51.15682,28038.630773378576,3653.2084620788874,2
1457,38.80647,28128.170196468738,4173.176683309653,2
4480,15.671429,28153.75288878022,1014.9933174578421,2
7370,3.5273938,28192.126927247435,2363.8407695804563,2
8229,21.37011,28435.16250420647,4265.27437563097,2
3243,49.920124,28601.45000423106,2406.052211894393,2
8189,12.541931,28703.780773476974,798.1800001180762,2
317,13.8066025,28831.694235034345,1070.6356732353042,2
1613,77.291885,28908.44231196878,4278.705289094494,2
6351,7.7411227,29061.938465837644,2885.7276927345833,2
5219,240.51949,29087.52115814912,5637.146250833913,2
7136,20.65163,29266.600004329463,2855.028461960811,2
6040,170.50514,29330.55673510815,2693.857500398507,2
8297,38.516888,29522.42692744422,3875.7778851887338,2
6026,124.206345,29650.340389001612,3733.7939428600384,2
6032,179.23029,29816.627889026215,2680.4265869349824,2
4221,7.3314357,29842.210581337684,3355.809663957969,2
8003,30.57457,29944.541350583597,2611.353317693994,2
5802,367.36108,29982.915389050813,1661.5958656304178,2
7467,14.310076,30136.411542919683,924.8143270598864,2
2594,38.688583,30289.90769678853,2148.946154164051,2
7451,31.463665,30379.447119878703,4480.168991047374,2
822,87.6315,30520.151927591818,1722.9943271779625,2
5868,248.09232,30699.23077377216,2244.8812503320887,2
3266,91.7781,30699.230773772164,1734.506538718127,2
1794,54.22572,30814.352889173802,4253.762164090804,2
6491,29.237001,30827.144235329542,3150.508558158368,2
4584,40.18963,30955.05769688693,2929.8578369718816,2
482,45.385025,30993.43173535414,2528.8491349894816,2
6074,203.73329,31172.51058153448,3244.5249524030455,2
894,142.93713,31262.050004624656,2218.019423405039,2
7294,17.655386,31313.215389247605,5779.130193162609,2
627,326.54654,31441.12885080499,3703.0947120862675,2
3880,87.20996,31505.085581583673,4418.77052949983,2
