item,Category
Local Rice,Food_Non_Processed
"Imported Rice (including pusswa, butter rice, etc.)",Food_Non_Processed
Corn (Maize),Food_Non_Processed
Other cereals (Specify),Food_Non_Processed
"Corn flour, Wheat flour/Farina, Semolina",Food_Non_Processed
Other flours (specify),Food_Non_Processed
"Bread (long bread, round bread, Lebanese bread etc.)",Food_Non_Processed
"Pasta products (macaroni, spaghetti)",Food_Non_Processed
"Fritters (Callah), Pastry and Doughnut, Biscuits and Cakes, Corn bread, Rice bread, Short bread etc.",Food_Non_Processed
Cassava roots,Food_Non_Processed
"Cassava flour (fufu), gari",Food_Non_Processed
Yams,Food_Non_Processed
Sweet potatoes,Food_Non_Processed
Irish Potatoes,Food_Non_Processed
Plantains,Food_Non_Processed
Bitter balls/Kitilay,Food_Non_Processed
Eddoes,Food_Non_Processed
Other roots and tubers (specify),Food_Non_Processed
Sugar,Food_Processed
"Sweets (Candies, etc)",Food_Processed
Chocolate/Ice Creams,Food_Processed
"Honey, syrups,",Food_Processed
"Jams, marmalade, jellies",Food_Processed
Dried beans,Food_Non_Processed
Dried peas,Food_Non_Processed
Other lentils and pulses,Food_Non_Processed
Kola Nut/Beetel Nut,Food_Non_Processed
"Groundnuts in shell/shelled/butter, Groundpea",Food_Non_Processed
Groundnut oil,Food_Processed
Coconuts oil,Food_Processed
Palm nuts,Food_Processed
Palm oil,Food_Processed
Palm Kernel Oil,Food_Processed
Argo Oils/ Vegetable Oils / Olive Oil,Food_Processed
"Butter, margarine and other not fat butter",Food_Processed
"Other seeds/nuts or products from nuts/seeds (cotton, soya)",Food_Non_Processed
Sesame Seeds / Beneseeds,Food_Non_Processed
Animal fats,Food_Non_Processed
Fresh tomatoes,Food_Non_Processed
Onions,Food_Non_Processed
Garlic,Food_Non_Processed
Cassava Leaves,Food_Non_Processed
"Cabbage, Lettuce",Food_Non_Processed
Okra,Food_Non_Processed
Collard Greens,Food_Non_Processed
Potato greens/ sweet potato greens,Food_Non_Processed
"Other green leaves (folong, oseille)",Food_Non_Processed
Eggplant,Food_Non_Processed
Carrots,Food_Non_Processed
Green beans,Food_Non_Processed
Ginger,Food_Non_Processed
Other vegetables,Food_Non_Processed
Bananas,Food_Non_Processed
"Citrus fruits (oranges, lemon, tangerines, lime, etc.)",Food_Non_Processed
Mangoes,Food_Non_Processed
Papayas / Paw Paw,Food_Non_Processed
Avacados / Butter Pear,Food_Non_Processed
Pineapples,Food_Non_Processed
Coconuts (mature/immature),Food_Non_Processed
Grapefruit,Food_Non_Processed
Cucumber,Food_Non_Processed
"Other fruits (guava, apples, watermelon, etc)",Food_Non_Processed
Eggs,Food_Non_Processed
Goat/mutton meat,Food_Non_Processed
Sheep/lamb meat,Food_Non_Processed
"Beef (cow) including minced sausage, liver etc.",Food_Non_Processed
Corned Beef,Food_Non_Processed
Pork including sausages and bacon,Food_Non_Processed
Pig Feet,Food_Non_Processed
Live Chicken,Food_Non_Processed
Frozen Chicken,Food_Non_Processed
