Year,CPI,SALARY,CONS_Total,CONS_Food_Non_Processed,CONS_Food_Processed,CONS_Non_Food,CONS_Other,CONS_Food.1,CONS_Alcohol_Tobacco,CONS_Clothing_Footwear,CONS_Housing,CONS_Hhold_Goods_Services,CONS_Health,CONS_Transport,CONS_Communication,CONS_Recreation_Culture,CONS_Education,CONS_Restaurants_Hotels,CONS_Miscellaneous
2016,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
2017,1,1,1.051921548,1.051921548,1.051921548,1.051921548,1.051921548,1.051921548,1.051921548,1.051921548,1.051921548,1.051921548,1.051921548,1.051921548,1.051921548,1.051921548,1.051921548,1.051921548,1.051921548
2018,1,1,0.998063677,0.998063677,0.998063677,0.998063677,0.998063677,0.998063677,0.998063677,0.998063677,0.998063677,0.998063677,0.998063677,0.998063677,0.998063677,0.998063677,0.998063677,0.998063677,0.998063677
2019,1,1,0.87782025,0.87782025,0.87782025,0.87782025,0.87782025,0.87782025,0.87782025,0.87782025,0.87782025,0.87782025,0.87782025,0.87782025,0.87782025,0.87782025,0.87782025,0.87782025,0.87782025
2020,1,1,1.088764559,1.088764559,1.088764559,1.088764559,1.088764559,1.088764559,1.088764559,1.088764559,1.088764559,1.088764559,1.088764559,1.088764559,1.088764559,1.088764559,1.088764559,1.088764559,1.088764559
2021,1,1,1.202239685,1.202239685,1.202239685,1.202239685,1.202239685,1.202239685,1.202239685,1.202239685,1.202239685,1.202239685,1.202239685,1.202239685,1.202239685,1.202239685,1.202239685,1.202239685,1.202239685
2022,1,1,1.080566456,1.080566456,1.080566456,1.080566456,1.080566456,1.080566456,1.080566456,1.080566456,1.080566456,1.080566456,1.080566456,1.080566456,1.080566456,1.080566456,1.080566456,1.080566456,1.080566456
2023,1,1,1.074232952,1.074232952,1.074232952,1.074232952,1.074232952,1.074232952,1.074232952,1.074232952,1.074232952,1.074232952,1.074232952,1.074232952,1.074232952,1.074232952,1.074232952,1.074232952,1.074232952
2024,1,1,1.090432802,1.090432802,1.090432802,1.090432802,1.090432802,1.090432802,1.090432802,1.090432802,1.090432802,1.090432802,1.090432802,1.090432802,1.090432802,1.090432802,1.090432802,1.090432802,1.090432802
2025,1,1,1.070816795,1.070816795,1.070816795,1.070816795,1.070816795,1.070816795,1.070816795,1.070816795,1.070816795,1.070816795,1.070816795,1.070816795,1.070816795,1.070816795,1.070816795,1.070816795,1.070816795
2026,1,1,1.065353102,1.065353102,1.065353102,1.065353102,1.065353102,1.065353102,1.065353102,1.065353102,1.065353102,1.065353102,1.065353102,1.065353102,1.065353102,1.065353102,1.065353102,1.065353102,1.065353102
2027,1,1,1.069218092,1.069218092,1.069218092,1.069218092,1.069218092,1.069218092,1.069218092,1.069218092,1.069218092,1.069218092,1.069218092,1.069218092,1.069218092,1.069218092,1.069218092,1.069218092,1.069218092
2028,1,1,1.069532454,1.069532454,1.069532454,1.069532454,1.069532454,1.069532454,1.069532454,1.069532454,1.069532454,1.069532454,1.069532454,1.069532454,1.069532454,1.069532454,1.069532454,1.069532454,1.069532454
2029,1,1,1.068694956,1.068694956,1.068694956,1.068694956,1.068694956,1.068694956,1.068694956,1.068694956,1.068694956,1.068694956,1.068694956,1.068694956,1.068694956,1.068694956,1.068694956,1.068694956,1.068694956
2030,1,1,1.068694956,1.068694956,1.068694956,1.068694956,1.068694956,1.068694956,1.068694956,1.068694956,1.068694956,1.068694956,1.068694956,1.068694956,1.068694956,1.068694956,1.068694956,1.068694956,1.068694956
