id_n,WT2016,WT2017,WT2018,WT2019,WT2020,WT2021,WT2022,WT2023,WT2024,WT2025,WT2026,WT2027,WT2028,WT2029,WT2030
3020010120013.0,80.999466,80.999466,80.999466,80.999466,80.999466,80.999466,80.999466,80.999466,80.999466,80.999466,80.999466,80.999466,80.999466,80.999466,80.999466
3020010120027.0,80.999466,80.999466,80.999466,80.999466,80.999466,80.999466,80.999466,80.999466,80.999466,80.999466,80.999466,80.999466,80.999466,80.999466,80.999466
3020010120041.0,80.999466,80.999466,80.999466,80.999466,80.999466,80.999466,80.999466,80.999466,80.999466,80.999466,80.999466,80.999466,80.999466,80.999466,80.999466
3020010120069.0,80.999466,80.999466,80.999466,80.999466,80.999466,80.999466,80.999466,80.999466,80.999466,80.999466,80.999466,80.999466,80.999466,80.999466,80.999466
3020010120083.0,80.999466,80.999466,80.999466,80.999466,80.999466,80.999466,80.999466,80.999466,80.999466,80.999466,80.999466,80.999466,80.999466,80.999466,80.999466
3020010120111.0,80.999466,80.999466,80.999466,80.999466,80.999466,80.999466,80.999466,80.999466,80.999466,80.999466,80.999466,80.999466,80.999466,80.999466,80.999466
3020010120125.0,80.999466,80.999466,80.999466,80.999466,80.999466,80.999466,80.999466,80.999466,80.999466,80.999466,80.999466,80.999466,80.999466,80.999466,80.999466
3020010120139.0,80.999466,80.999466,80.999466,80.999466,80.999466,80.999466,80.999466,80.999466,80.999466,80.999466,80.999466,80.999466,80.999466,80.999466,80.999466
3020010120167.0,80.999466,80.999466,80.999466,80.999466,80.999466,80.999466,80.999466,80.999466,80.999466,80.999466,80.999466,80.999466,80.999466,80.999466,80.999466
3020010120181.0,80.999466,80.999466,80.999466,80.999466,80.999466,80.999466,80.999466,80.999466,80.999466,80.999466,80.999466,80.999466,80.999466,80.999466,80.999466
3020010720005.0,25.330072,25.330072,25.330072,25.330072,25.330072,25.330072,25.330072,25.330072,25.330072,25.330072,25.330072,25.330072,25.330072,25.330072,25.330072
3020010720011.0,25.330072,25.330072,25.330072,25.330072,25.330072,25.330072,25.330072,25.330072,25.330072,25.330072,25.330072,25.330072,25.330072,25.330072,25.330072
3020010720022.0,25.330072,25.330072,25.330072,25.330072,25.330072,25.330072,25.330072,25.330072,25.330072,25.330072,25.330072,25.330072,25.330072,25.330072,25.330072
3020010720028.0,25.330072,25.330072,25.330072,25.330072,25.330072,25.330072,25.330072,25.330072,25.330072,25.330072,25.330072,25.330072,25.330072,25.330072,25.330072
3020010720034.0,25.330072,25.330072,25.330072,25.330072,25.330072,25.330072,25.330072,25.330072,25.330072,25.330072,25.330072,25.330072,25.330072,25.330072,25.330072
3020010720046.0,25.330072,25.330072,25.330072,25.330072,25.330072,25.330072,25.330072,25.330072,25.330072,25.330072,25.330072,25.330072,25.330072,25.330072,25.330072
3020010720052.0,25.330072,25.330072,25.330072,25.330072,25.330072,25.330072,25.330072,25.330072,25.330072,25.330072,25.330072,25.330072,25.330072,25.330072,25.330072
3020010720063.0,25.330072,25.330072,25.330072,25.330072,25.330072,25.330072,25.330072,25.330072,25.330072,25.330072,25.330072,25.330072,25.330072,25.330072,25.330072
3020010720069.0,25.330072,25.330072,25.330072,25.330072,25.330072,25.330072,25.330072,25.330072,25.330072,25.330072,25.330072,25.330072,25.330072,25.330072,25.330072
3020010720075.0,25.330072,25.330072,25.330072,25.330072,25.330072,25.330072,25.330072,25.330072,25.330072,25.330072,25.330072,25.330072,25.330072,25.330072,25.330072
3020020120005.0,36.351513,36.351513,36.351513,36.351513,36.351513,36.351513,36.351513,36.351513,36.351513,36.351513,36.351513,36.351513,36.351513,36.351513,36.351513
3020020120014.0,36.351513,36.351513,36.351513,36.351513,36.351513,36.351513,36.351513,36.351513,36.351513,36.351513,36.351513,36.351513,36.351513,36.351513,36.351513
3020020120018.0,36.351513,36.351513,36.351513,36.351513,36.351513,36.351513,36.351513,36.351513,36.351513,36.351513,36.351513,36.351513,36.351513,36.351513,36.351513
3020020120027.0,36.351513,36.351513,36.351513,36.351513,36.351513,36.351513,36.351513,36.351513,36.351513,36.351513,36.351513,36.351513,36.351513,36.351513,36.351513
3020020120032.0,36.351513,36.351513,36.351513,36.351513,36.351513,36.351513,36.351513,36.351513,36.351513,36.351513,36.351513,36.351513,36.351513,36.351513,36.351513
3020020120036.0,36.351513,36.351513,36.351513,36.351513,36.351513,36.351513,36.351513,36.351513,36.351513,36.351513,36.351513,36.351513,36.351513,36.351513,36.351513
3020020120045.0,36.351513,36.351513,36.351513,36.351513,36.351513,36.351513,36.351513,36.351513,36.351513,36.351513,36.351513,36.351513,36.351513,36.351513,36.351513
3020020120050.0,36.351513,36.351513,36.351513,36.351513,36.351513,36.351513,36.351513,36.351513,36.351513,36.351513,36.351513,36.351513,36.351513,36.351513,36.351513
3020020120059.0,36.351513,36.351513,36.351513,36.351513,36.351513,36.351513,36.351513,36.351513,36.351513,36.351513,36.351513,36.351513,36.351513,36.351513,36.351513
3020020120063.0,36.351513,36.351513,36.351513,36.351513,36.351513,36.351513,36.351513,36.351513,36.351513,36.351513,36.351513,36.351513,36.351513,36.351513,36.351513
3020020710005.0,36.793285,36.793285,36.793285,36.793285,36.793285,36.793285,36.793285,36.793285,36.793285,36.793285,36.793285,36.793285,36.793285,36.793285,36.793285
3020020710010.0,36.793285,36.793285,36.793285,36.793285,36.793285,36.793285,36.793285,36.793285,36.793285,36.793285,36.793285,36.793285,36.793285,36.793285,36.793285
3020020710021.0,36.793285,36.793285,36.793285,36.793285,36.793285,36.793285,36.793285,36.793285,36.793285,36.793285,36.793285,36.793285,36.793285,36.793285,36.793285
3020020710027.0,36.793285,36.793285,36.793285,36.793285,36.793285,36.793285,36.793285,36.793285,36.793285,36.793285,36.793285,36.793285,36.793285,36.793285,36.793285
3020020710032.0,36.793285,36.793285,36.793285,36.793285,36.793285,36.793285,36.793285,36.793285,36.793285,36.793285,36.793285,36.793285,36.793285,36.793285,36.793285
3020020710043.0,36.793285,36.793285,36.793285,36.793285,36.793285,36.793285,36.793285,36.793285,36.793285,36.793285,36.793285,36.793285,36.793285,36.793285,36.793285
3020020710049.0,36.793285,36.793285,36.793285,36.793285,36.793285,36.793285,36.793285,36.793285,36.793285,36.793285,36.793285,36.793285,36.793285,36.793285,36.793285
3020020710060.0,36.793285,36.793285,36.793285,36.793285,36.793285,36.793285,36.793285,36.793285,36.793285,36.793285,36.793285,36.793285,36.793285,36.793285,36.793285
3020020710065.0,36.793285,36.793285,36.793285,36.793285,36.793285,36.793285,36.793285,36.793285,36.793285,36.793285,36.793285,36.793285,36.793285,36.793285,36.793285
3020020710071.0,36.793285,36.793285,36.793285,36.793285,36.793285,36.793285,36.793285,36.793285,36.793285,36.793285,36.793285,36.793285,36.793285,36.793285,36.793285
3020021320010.0,77.95267,77.95267,77.95267,77.95267,77.95267,77.95267,77.95267,77.95267,77.95267,77.95267,77.95267,77.95267,77.95267,77.95267,77.95267
3020021320020.0,77.95267,77.95267,77.95267,77.95267,77.95267,77.95267,77.95267,77.95267,77.95267,77.95267,77.95267,77.95267,77.95267,77.95267,77.95267
3020021320029.0,77.95267,77.95267,77.95267,77.95267,77.95267,77.95267,77.95267,77.95267,77.95267,77.95267,77.95267,77.95267,77.95267,77.95267,77.95267
3020021320047.0,77.95267,77.95267,77.95267,77.95267,77.95267,77.95267,77.95267,77.95267,77.95267,77.95267,77.95267,77.95267,77.95267,77.95267,77.95267
3020021320057.0,77.95267,77.95267,77.95267,77.95267,77.95267,77.95267,77.95267,77.95267,77.95267,77.95267,77.95267,77.95267,77.95267,77.95267,77.95267
3020021320075.0,77.95267,77.95267,77.95267,77.95267,77.95267,77.95267,77.95267,77.95267,77.95267,77.95267,77.95267,77.95267,77.95267,77.95267,77.95267
3020021320085.0,77.95267,77.95267,77.95267,77.95267,77.95267,77.95267,77.95267,77.95267,77.95267,77.95267,77.95267,77.95267,77.95267,77.95267,77.95267
3020021320094.0,77.95267,77.95267,77.95267,77.95267,77.95267,77.95267,77.95267,77.95267,77.95267,77.95267,77.95267,77.95267,77.95267,77.95267,77.95267
3020021320112.0,77.95267,77.95267,77.95267,77.95267,77.95267,77.95267,77.95267,77.95267,77.95267,77.95267,77.95267,77.95267,77.95267,77.95267,77.95267
3020021320122.0,77.95267,77.95267,77.95267,77.95267,77.95267,77.95267,77.95267,77.95267,77.95267,77.95267,77.95267,77.95267,77.95267,77.95267,77.95267
3020030520004.0,30.878338,30.878338,30.878338,30.878338,30.878338,30.878338,30.878338,30.878338,30.878338,30.878338,30.878338,30.878338,30.878338,30.878338,30.878338
3020030520011.0,30.878338,30.878338,30.878338,30.878338,30.878338,30.878338,30.878338,30.878338,30.878338,30.878338,30.878338,30.878338,30.878338,30.878338,30.878338
3020030520026.0,30.878338,30.878338,30.878338,30.878338,30.878338,30.878338,30.878338,30.878338,30.878338,30.878338,30.878338,30.878338,30.878338,30.878338,30.878338
3020030520034.0,30.878338,30.878338,30.878338,30.878338,30.878338,30.878338,30.878338,30.878338,30.878338,30.878338,30.878338,30.878338,30.878338,30.878338,30.878338
3020030520041.0,30.878338,30.878338,30.878338,30.878338,30.878338,30.878338,30.878338,30.878338,30.878338,30.878338,30.878338,30.878338,30.878338,30.878338,30.878338
3020030520056.0,30.878338,30.878338,30.878338,30.878338,30.878338,30.878338,30.878338,30.878338,30.878338,30.878338,30.878338,30.878338,30.878338,30.878338,30.878338
3020030520063.0,30.878338,30.878338,30.878338,30.878338,30.878338,30.878338,30.878338,30.878338,30.878338,30.878338,30.878338,30.878338,30.878338,30.878338,30.878338
3020030520078.0,30.878338,30.878338,30.878338,30.878338,30.878338,30.878338,30.878338,30.878338,30.878338,30.878338,30.878338,30.878338,30.878338,30.878338,30.878338
3020030520086.0,30.878338,30.878338,30.878338,30.878338,30.878338,30.878338,30.878338,30.878338,30.878338,30.878338,30.878338,30.878338,30.878338,30.878338,30.878338
3020030520093.0,30.878338,30.878338,30.878338,30.878338,30.878338,30.878338,30.878338,30.878338,30.878338,30.878338,30.878338,30.878338,30.878338,30.878338,30.878338
3020030920005.0,43.005135,43.005135,43.005135,43.005135,43.005135,43.005135,43.005135,43.005135,43.005135,43.005135,43.005135,43.005135,43.005135,43.005135,43.005135
3020030920011.0,43.005135,43.005135,43.005135,43.005135,43.005135,43.005135,43.005135,43.005135,43.005135,43.005135,43.005135,43.005135,43.005135,43.005135,43.005135
3020030920024.0,43.005135,43.005135,43.005135,43.005135,43.005135,43.005135,43.005135,43.005135,43.005135,43.005135,43.005135,43.005135,43.005135,43.005135,43.005135
3020030920031.0,43.005135,43.005135,43.005135,43.005135,43.005135,43.005135,43.005135,43.005135,43.005135,43.005135,43.005135,43.005135,43.005135,43.005135,43.005135
3020030920043.0,43.005135,43.005135,43.005135,43.005135,43.005135,43.005135,43.005135,43.005135,43.005135,43.005135,43.005135,43.005135,43.005135,43.005135,43.005135
3020030920050.0,43.005135,43.005135,43.005135,43.005135,43.005135,43.005135,43.005135,43.005135,43.005135,43.005135,43.005135,43.005135,43.005135,43.005135,43.005135
3020030920056.0,43.005135,43.005135,43.005135,43.005135,43.005135,43.005135,43.005135,43.005135,43.005135,43.005135,43.005135,43.005135,43.005135,43.005135,43.005135
3020030920069.0,43.005135,43.005135,43.005135,43.005135,43.005135,43.005135,43.005135,43.005135,43.005135,43.005135,43.005135,43.005135,43.005135,43.005135,43.005135
3020030920076.0,43.005135,43.005135,43.005135,43.005135,43.005135,43.005135,43.005135,43.005135,43.005135,43.005135,43.005135,43.005135,43.005135,43.005135,43.005135
3020030920088.0,43.005135,43.005135,43.005135,43.005135,43.005135,43.005135,43.005135,43.005135,43.005135,43.005135,43.005135,43.005135,43.005135,43.005135,43.005135
3020031320003.0,31.059263,31.059263,31.059263,31.059263,31.059263,31.059263,31.059263,31.059263,31.059263,31.059263,31.059263,31.059263,31.059263,31.059263,31.059263
3020031320008.0,31.059263,31.059263,31.059263,31.059263,31.059263,31.059263,31.059263,31.059263,31.059263,31.059263,31.059263,31.059263,31.059263,31.059263,31.059263
3020031320017.0,31.059263,31.059263,31.059263,31.059263,31.059263,31.059263,31.059263,31.059263,31.059263,31.059263,31.059263,31.059263,31.059263,31.059263,31.059263
3020031320022.0,31.059263,31.059263,31.059263,31.059263,31.059263,31.059263,31.059263,31.059263,31.059263,31.059263,31.059263,31.059263,31.059263,31.059263,31.059263
3020031320026.0,31.059263,31.059263,31.059263,31.059263,31.059263,31.059263,31.059263,31.059263,31.059263,31.059263,31.059263,31.059263,31.059263,31.059263,31.059263
3020031320036.0,31.059263,31.059263,31.059263,31.059263,31.059263,31.059263,31.059263,31.059263,31.059263,31.059263,31.059263,31.059263,31.059263,31.059263,31.059263
3020031320040.0,31.059263,31.059263,31.059263,31.059263,31.059263,31.059263,31.059263,31.059263,31.059263,31.059263,31.059263,31.059263,31.059263,31.059263,31.059263
3020031320050.0,31.059263,31.059263,31.059263,31.059263,31.059263,31.059263,31.059263,31.059263,31.059263,31.059263,31.059263,31.059263,31.059263,31.059263,31.059263
3020031320054.0,31.059263,31.059263,31.059263,31.059263,31.059263,31.059263,31.059263,31.059263,31.059263,31.059263,31.059263,31.059263,31.059263,31.059263,31.059263
3020031320059.0,31.059263,31.059263,31.059263,31.059263,31.059263,31.059263,31.059263,31.059263,31.059263,31.059263,31.059263,31.059263,31.059263,31.059263,31.059263
3020031820003.0,32.003826,32.003826,32.003826,32.003826,32.003826,32.003826,32.003826,32.003826,32.003826,32.003826,32.003826,32.003826,32.003826,32.003826,32.003826
3020031820010.0,32.003826,32.003826,32.003826,32.003826,32.003826,32.003826,32.003826,32.003826,32.003826,32.003826,32.003826,32.003826,32.003826,32.003826,32.003826
3020031820013.0,32.003826,32.003826,32.003826,32.003826,32.003826,32.003826,32.003826,32.003826,32.003826,32.003826,32.003826,32.003826,32.003826,32.003826,32.003826
3020031820016.0,32.003826,32.003826,32.003826,32.003826,32.003826,32.003826,32.003826,32.003826,32.003826,32.003826,32.003826,32.003826,32.003826,32.003826,32.003826
3020031820022.0,32.003826,32.003826,32.003826,32.003826,32.003826,32.003826,32.003826,32.003826,32.003826,32.003826,32.003826,32.003826,32.003826,32.003826,32.003826
3020031820026.0,32.003826,32.003826,32.003826,32.003826,32.003826,32.003826,32.003826,32.003826,32.003826,32.003826,32.003826,32.003826,32.003826,32.003826,32.003826
3020031820032.0,32.003826,32.003826,32.003826,32.003826,32.003826,32.003826,32.003826,32.003826,32.003826,32.003826,32.003826,32.003826,32.003826,32.003826,32.003826
3020031820035.0,32.003826,32.003826,32.003826,32.003826,32.003826,32.003826,32.003826,32.003826,32.003826,32.003826,32.003826,32.003826,32.003826,32.003826,32.003826
3020031820039.0,32.003826,32.003826,32.003826,32.003826,32.003826,32.003826,32.003826,32.003826,32.003826,32.003826,32.003826,32.003826,32.003826,32.003826,32.003826
3020031820045.0,32.003826,32.003826,32.003826,32.003826,32.003826,32.003826,32.003826,32.003826,32.003826,32.003826,32.003826,32.003826,32.003826,32.003826,32.003826
3020040120004.0,31.292627,31.292627,31.292627,31.292627,31.292627,31.292627,31.292627,31.292627,31.292627,31.292627,31.292627,31.292627,31.292627,31.292627,31.292627
3020040120011.0,31.292627,31.292627,31.292627,31.292627,31.292627,31.292627,31.292627,31.292627,31.292627,31.292627,31.292627,31.292627,31.292627,31.292627,31.292627
3020040120017.0,31.292627,31.292627,31.292627,31.292627,31.292627,31.292627,31.292627,31.292627,31.292627,31.292627,31.292627,31.292627,31.292627,31.292627,31.292627
3020040120029.0,31.292627,31.292627,31.292627,31.292627,31.292627,31.292627,31.292627,31.292627,31.292627,31.292627,31.292627,31.292627,31.292627,31.292627,31.292627
3020040120035.0,31.292627,31.292627,31.292627,31.292627,31.292627,31.292627,31.292627,31.292627,31.292627,31.292627,31.292627,31.292627,31.292627,31.292627,31.292627
3020040120047.0,31.292627,31.292627,31.292627,31.292627,31.292627,31.292627,31.292627,31.292627,31.292627,31.292627,31.292627,31.292627,31.292627,31.292627,31.292627
3020040120054.0,31.292627,31.292627,31.292627,31.292627,31.292627,31.292627,31.292627,31.292627,31.292627,31.292627,31.292627,31.292627,31.292627,31.292627,31.292627
3020040120060.0,31.292627,31.292627,31.292627,31.292627,31.292627,31.292627,31.292627,31.292627,31.292627,31.292627,31.292627,31.292627,31.292627,31.292627,31.292627
3020040120072.0,31.292627,31.292627,31.292627,31.292627,31.292627,31.292627,31.292627,31.292627,31.292627,31.292627,31.292627,31.292627,31.292627,31.292627,31.292627
3020040120078.0,31.292627,31.292627,31.292627,31.292627,31.292627,31.292627,31.292627,31.292627,31.292627,31.292627,31.292627,31.292627,31.292627,31.292627,31.292627
3020040620016.0,43.348434,43.348434,43.348434,43.348434,43.348434,43.348434,43.348434,43.348434,43.348434,43.348434,43.348434,43.348434,43.348434,43.348434,43.348434
3020040620026.0,43.348434,43.348434,43.348434,43.348434,43.348434,43.348434,43.348434,43.348434,43.348434,43.348434,43.348434,43.348434,43.348434,43.348434,43.348434
3020040620047.0,43.348434,43.348434,43.348434,43.348434,43.348434,43.348434,43.348434,43.348434,43.348434,43.348434,43.348434,43.348434,43.348434,43.348434,43.348434
3020040620058.0,43.348434,43.348434,43.348434,43.348434,43.348434,43.348434,43.348434,43.348434,43.348434,43.348434,43.348434,43.348434,43.348434,43.348434,43.348434
3020040620068.0,43.348434,43.348434,43.348434,43.348434,43.348434,43.348434,43.348434,43.348434,43.348434,43.348434,43.348434,43.348434,43.348434,43.348434,43.348434
3020040620089.0,43.348434,43.348434,43.348434,43.348434,43.348434,43.348434,43.348434,43.348434,43.348434,43.348434,43.348434,43.348434,43.348434,43.348434,43.348434
3020040620099.0,43.348434,43.348434,43.348434,43.348434,43.348434,43.348434,43.348434,43.348434,43.348434,43.348434,43.348434,43.348434,43.348434,43.348434,43.348434
3020040620120.0,43.348434,43.348434,43.348434,43.348434,43.348434,43.348434,43.348434,43.348434,43.348434,43.348434,43.348434,43.348434,43.348434,43.348434,43.348434
3020040620131.0,43.348434,43.348434,43.348434,43.348434,43.348434,43.348434,43.348434,43.348434,43.348434,43.348434,43.348434,43.348434,43.348434,43.348434,43.348434
3020040620141.0,43.348434,43.348434,43.348434,43.348434,43.348434,43.348434,43.348434,43.348434,43.348434,43.348434,43.348434,43.348434,43.348434,43.348434,43.348434
3020041120002.0,33.874817,33.874817,33.874817,33.874817,33.874817,33.874817,33.874817,33.874817,33.874817,33.874817,33.874817,33.874817,33.874817,33.874817,33.874817
3020041120007.0,33.874817,33.874817,33.874817,33.874817,33.874817,33.874817,33.874817,33.874817,33.874817,33.874817,33.874817,33.874817,33.874817,33.874817,33.874817
3020041120017.0,33.874817,33.874817,33.874817,33.874817,33.874817,33.874817,33.874817,33.874817,33.874817,33.874817,33.874817,33.874817,33.874817,33.874817,33.874817
3020041120023.0,33.874817,33.874817,33.874817,33.874817,33.874817,33.874817,33.874817,33.874817,33.874817,33.874817,33.874817,33.874817,33.874817,33.874817,33.874817
3020041120028.0,33.874817,33.874817,33.874817,33.874817,33.874817,33.874817,33.874817,33.874817,33.874817,33.874817,33.874817,33.874817,33.874817,33.874817,33.874817
3020041120038.0,33.874817,33.874817,33.874817,33.874817,33.874817,33.874817,33.874817,33.874817,33.874817,33.874817,33.874817,33.874817,33.874817,33.874817,33.874817
3020041120043.0,33.874817,33.874817,33.874817,33.874817,33.874817,33.874817,33.874817,33.874817,33.874817,33.874817,33.874817,33.874817,33.874817,33.874817,33.874817
3020041120053.0,33.874817,33.874817,33.874817,33.874817,33.874817,33.874817,33.874817,33.874817,33.874817,33.874817,33.874817,33.874817,33.874817,33.874817,33.874817
3020041120059.0,33.874817,33.874817,33.874817,33.874817,33.874817,33.874817,33.874817,33.874817,33.874817,33.874817,33.874817,33.874817,33.874817,33.874817,33.874817
3020041120064.0,33.874817,33.874817,33.874817,33.874817,33.874817,33.874817,33.874817,33.874817,33.874817,33.874817,33.874817,33.874817,33.874817,33.874817,33.874817
3020041720001.0,40.55364,40.55364,40.55364,40.55364,40.55364,40.55364,40.55364,40.55364,40.55364,40.55364,40.55364,40.55364,40.55364,40.55364,40.55364
3020041720019.0,40.55364,40.55364,40.55364,40.55364,40.55364,40.55364,40.55364,40.55364,40.55364,40.55364,40.55364,40.55364,40.55364,40.55364,40.55364
3020041720028.0,40.55364,40.55364,40.55364,40.55364,40.55364,40.55364,40.55364,40.55364,40.55364,40.55364,40.55364,40.55364,40.55364,40.55364,40.55364
3020041720046.0,40.55364,40.55364,40.55364,40.55364,40.55364,40.55364,40.55364,40.55364,40.55364,40.55364,40.55364,40.55364,40.55364,40.55364,40.55364
3020041720055.0,40.55364,40.55364,40.55364,40.55364,40.55364,40.55364,40.55364,40.55364,40.55364,40.55364,40.55364,40.55364,40.55364,40.55364,40.55364
3020041720064.0,40.55364,40.55364,40.55364,40.55364,40.55364,40.55364,40.55364,40.55364,40.55364,40.55364,40.55364,40.55364,40.55364,40.55364,40.55364
3020041720082.0,40.55364,40.55364,40.55364,40.55364,40.55364,40.55364,40.55364,40.55364,40.55364,40.55364,40.55364,40.55364,40.55364,40.55364,40.55364
3020041720091.0,40.55364,40.55364,40.55364,40.55364,40.55364,40.55364,40.55364,40.55364,40.55364,40.55364,40.55364,40.55364,40.55364,40.55364,40.55364
3020041720109.0,40.55364,40.55364,40.55364,40.55364,40.55364,40.55364,40.55364,40.55364,40.55364,40.55364,40.55364,40.55364,40.55364,40.55364,40.55364
3020041720118.0,40.55364,40.55364,40.55364,40.55364,40.55364,40.55364,40.55364,40.55364,40.55364,40.55364,40.55364,40.55364,40.55364,40.55364,40.55364
3020042220001.0,54.0272,54.0272,54.0272,54.0272,54.0272,54.0272,54.0272,54.0272,54.0272,54.0272,54.0272,54.0272,54.0272,54.0272,54.0272
3020042220008.0,54.0272,54.0272,54.0272,54.0272,54.0272,54.0272,54.0272,54.0272,54.0272,54.0272,54.0272,54.0272,54.0272,54.0272,54.0272
