,index,vatax_2025,vatax_ref_2025,vatax_ref_2026,vatax_ref_2027,vatax_ref_2028,vatax_ref_2029,vatax_ref_2030
0,<0,0,0,0,0,0,0,0
1,=0,0,0,0,0,0,0,0
2,0-10k,4,4,5,5,5,5,4
3,10k-25k,17,17,16,14,11,10,9
4,25k-50k,132,132,108,86,77,73,69
5,50k-75k,196,196,205,216,215,185,160
6,75k-100k,325,325,293,245,223,203,207
7,100k-200k,"2,047","2,047","1,972","1,844","1,786","1,724","1,580"
8,200k-500k,"8,667","8,667","8,585","8,628","8,537","8,315","8,066"
9,500k-1m,"8,942","8,942","9,791","10,268","10,897","11,734","12,589"
10,>1m,"10,415","10,415","11,947","13,949","15,999","18,196","20,646"
11,ALL,"30,747","30,747","32,923","35,254","37,750","40,444","43,331"
